"Job Id","Company Name","Job Name","Job Status","Third Owner"
"4182","Strada Global","Tax Filing Implementation Analyst","Open","Angelica Keller"
"4197","Sonic Automotive","QA Analyst- Data Quality - FTE","Open",""
"4228","Sonic Automotive","Sr Software Engineer","First Interview","Jennifer Kurilko"
"4262","Sonic Automotive","Technical Infrastructure Manager","Open",""
"4276","Steris Medical","VP Software Product Development","Further Interview","Jennifer Kurilko"
"4278","Elevate Digital","Technical Project Manager","Further Interview",""
"4303","Sonic Automotive","Operations Command Center  Specialist - Level II","Further Interview","Steve Sloan"
"4313","Strada Global","Tax Filing Shared Services Operations Manager","Resume Sent To Client","Jennifer Kurilko"
"4318","Seagate Technology","Sr Analyst","Resume Sent To Client","Caroline King"
"4319","Elevate Digital","Director of Marketing and Demand Generation","Resume Sent To Client",""
"4320","Perficient","UI Technical Architect - Onsite - Denver, CO","First Interview","Steve Sloan"
"4321","Pike Electric","Professional Engineer- Hybrid- Multiple Locations","Resume Sent To Client","Jennifer Kurilko"
"4322","Stanadyne","Operational Excellence Manager","Resume Sent To Client","Steve Sloan"
"4323","Elevate Digital","Technical Business Analyst","Open",""
"4324","Ensemble Health Partners","ServiceNow Engineer","Open","Caroline King"
"4325","Harpin AI","Technical Architect","First Interview","Jennifer Kurilko"
"4326","Harpin AI","Technical Lead","Further Interview","Brogan Wright"
"4329","AHEAD","Presales Engineer","Open","Caroline King"
"4330","Sonic Automotive","Regional Technology Manager (RTM)","First Interview","Brogan Wright"
"4331","Strada Global","Tax Filing Agency Sr Analyst","Resume Sent To Client","Angelica Keller"
"4332","Strada Global","Contact Center Representative (Class 2)","Offer Extended","Andrew Monson"
"4333","Modives","Product Manager","Internal Submittal",""
"4334","Strada Global","Delivery Associate","Resume Sent To Client","Brogan Wright"
"4335","Boplan","boplan Territory Sales Rep","Open","Brogan Wright"
"4336","Boplan","boplan - Territory Sales Manager","Resume Sent To Client","Steve Sloan"
"4337","Elevate Digital","DevOps Engineer (Backfill)","First Interview","Brogan Wright"